date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-06-07,12334687.48807167,5284.568121796957,5648.204918714169,255027.95900127036,35.38053697060964,35.89263671908755,21.811311482904518,1.6968083898242354,964834.0418260997,973805.4637429564,0.03482617434390381,1426736614.0000074
2022-06-08,12339905.690051831,5218.201980164789,5518.232403159745,255063.05237958918,35.12924564974138,35.745131385469556,21.831012539133816,1.7013094274683729,960792.0486772684,968418.2398886665,0.035749559652562685,1426736614.0000074
2022-06-09,12345084.245512389,5178.555460559927,5410.217039118361,255097.8926783574,34.88444231746122,35.564478306393745,21.8497539098449,1.7065505903168605,956955.5628169377,964688.6826799143,0.03672231841427663,1426736614.0000074
2022-06-10,12350252.974147238,5168.72863485111,5326.609939972262,255132.50352622155,34.66260452413346,35.35936163865121,21.868318502842655,1.7127199886329292,957604.375360927,962574.5116544102,0.03774762116364871,1426736614.0000074
2022-06-11,12355442.583567783,5189.609420546873,5268.659270266857,255166.92599631488,34.480615319409125,35.14260994909188,21.887560467306553,1.7199772894708207,967728.0506706642,962738.4408190248,0.03883996603433969,1426736614.0000074
2022-06-12,12360683.010187168,5240.426619385598,5235.9588836956245,255201.21893162566,34.35566187740434,34.93041221295017,21.90835797168227,1.7284333549505646,991902.3530644088,966582.1228573209,0.04001749876622024,1426736614.0000074
2022-06-13,12365987.928664958,5304.918477790661,5226.432125118203,255235.43397893937,34.28120988575207,34.73867939242115,21.931300476176084,1.7379715902271469,1034564.4145882241,976340.497976864,0.04130837294344352,1426736614.0000074
2022-06-14,12371373.116133511,5385.18746855632,5240.806061194832,255269.59164451517,34.226615235904276,34.57377715905411,21.957067955709984,1.7484552602204595,1102731.608711047,996040.1688769611,0.042768125215016446,1426736614.0000074
2022-06-15,12376857.277290843,5484.1611573319215,5278.799939076481,255303.72459957935,34.20331630734196,34.441520490492955,21.986125789019106,1.7599156209895228,1198160.7997297966,1029950.0207268884,0.04440754187506331,1426736614.0000074
2022-06-16,12382457.370363107,5600.093072265272,5339.01928252327,255337.87108381544,34.216498219517504,34.346180122233044,22.018622945513556,1.7724475431500308,1319692.039083064,1081769.5616666935,0.046222107602160514,1426736614.0000074
